index,time_seconds
0,0.034830
1,0.232200
2,0.528254
3,0.702404
4,1.172608
5,1.323537
6,1.480272
7,1.799546
8,2.118821
9,2.269751
10,2.583220
11,2.739955
12,3.053424
13,3.210159
14,3.680363
15,3.825488
16,3.976417
17,4.307302
18,4.632381
19,4.760091
20,5.090975
21,5.247710
22,5.561179
23,5.717914
24,6.159093
25,6.344853
26,6.484172
27,6.815057
28,7.128526
