index,time_seconds
0,0.667574
1,0.783673
2,0.893968
3,1.160998
4,1.845986
5,2.513560
6,3.192744
7,3.790658
8,4.539501
9,5.108390
10,5.863039
11,6.553832
12,6.617687
13,7.314286
14,8.661043
15,9.369252
16,9.943946
17,10.065850
18,10.774059
19,11.418413
20,12.004717
21,12.120816
22,13.136689
23,14.843356
24,15.574785
25,16.248163
26,16.892517
27,17.571701
28,17.664580
29,18.303129
30,19.017143
31,19.638277
32,20.363900
33,21.083719
34,21.791927
35,22.105397
36,22.401451
37,23.144490
38,23.823673
39,24.514467
40,24.862766
41,25.193651
42,25.872834
43,26.575238
44,27.277642
45,27.980045
46,28.688254
47,29.373243
48,30.661950
49,30.749025
50,31.410794
51,32.136417
52,32.798186
53,33.436735
54,33.930159
55,34.197188
56,34.887982
57,35.938685
58,36.286984
59,36.925533
60,37.645351
61,38.283900
62,38.928254
63,39.688707
64,40.333061
65,41.790113
66,42.434467
67,43.102041
68,43.171701
69,43.792834
70,45.186032
71,45.923265
72,46.643084
73,47.322268
74,47.960816
75,48.674830
76,49.295964
77,49.951927
78,50.050612
79,50.758821
80,51.368345
81,52.134603
82,52.802177
83,53.521995
84,54.125714
85,54.201179
86,54.920998
87,55.547937
88,56.279365
89,57.678367
90,58.015057
91,58.351746
92,59.019320
93,59.721723
94,60.325442
95,60.395102
96,61.045261
97,61.805714
98,62.484898
99,63.169887
100,63.773605
101,63.860680
102,64.551474
103,64.864943
104,65.195828
105,65.236463
106,65.921451
107,66.629660
108,70.008163
109,70.693152
110,71.424580
111,72.068934
112,72.742313
113,72.846803
114,73.473741
115,74.199365
116,74.797279
117,75.592562
118,76.271746
119,76.933515
120,77.589478
121,78.332517
122,79.000091
123,79.748934
124,80.056599
125,80.393288
126,81.060862
127,81.745850
128,82.459864
129,83.133243
130,83.876281
131,84.207166
132,84.532245
133,85.159184
134,85.867392
135,86.622041
136,87.219955
137,87.307029
138,87.957188
139,88.340317
140,88.607347
141,89.350385
142,92.096145
143,92.821769
144,93.437098
145,93.541587
146,94.104671
147,94.836100
148,94.905760
149,95.590748
150,96.269932
151,96.966531
152,97.628299
153,98.179773
154,98.249433
155,98.348118
156,98.986667
157,99.735510
158,100.437914
159,101.093878
160,102.127166
161,102.452245
162,103.131429
163,103.857052
164,104.472381
165,105.221224
166,105.946848
167,106.620227
168,107.966984
169,109.058322
170,109.348571
171,110.764989
172,111.153923
173,111.455782
174,112.111746
175,112.773515
176,113.168254
177,113.481723
178,114.166712
179,114.828481
180,114.892336
181,115.588934
182,116.181043
183,116.935692
184,116.987937
185,117.678730
186,118.346304
187,119.008073
188,119.727891
189,120.331610
190,120.412880
191,121.109478
192,121.777052
193,122.479456
194,125.236825
195,125.904399
196,126.612608
197,127.315011
198,127.941950
199,128.017415
200,128.667574
201,129.381587
202,130.072381
203,130.716735
204,131.442358
205,132.138957
206,132.812336
207,133.497324
208,134.826667
209,135.738050
210,136.237279
211,136.916463
212,137.642086
213,138.292245
214,139.052698
215,139.731882
216,140.411066
217,141.014785
218,141.798458
219,142.471837
220,143.174240
221,143.806984
222,143.888254
223,144.538413
224,145.217596
225,145.908390
226,146.279909
227,146.581769
228,147.284172
229,147.992381
230,148.648345
231,149.286893
232,149.867392
233,150.035737
234,150.087982
235,150.772971
236,151.457959
237,151.962993
238,152.142948
239,152.793107
240,153.449070
241,153.524535
242,154.192109
243,154.552018
244,154.848073
245,154.917732
246,155.562086
247,156.281905
248,156.949478
249,157.315193
250,157.669297
251,158.325261
252,158.987029
253,159.730068
254,160.310567
255,161.117460
256,161.430930
257,161.732789
258,162.481633
259,162.829932
260,163.172426
261,163.874830
262,164.478549
263,164.559819
264,165.279637
265,165.575692
266,165.860136
267,166.608980
268,167.816417
269,169.354739
270,170.080363
271,170.666667
272,171.345850
273,172.094694
274,172.152744
275,172.843537
276,173.447256
277,173.528526
278,174.213515
279,174.834649
280,174.921723
281,175.519637
282,176.251066
283,176.988299
284,177.632653
285,178.352472
286,179.072290
287,179.385760
288,179.757279
289,180.395828
290,181.115646
291,181.730975
292,182.433379
293,183.112562
294,183.205442
295,183.873016
296,184.558005
297,185.266213
298,185.904762
299,186.554921
300,187.303764
301,188.412517
302,188.702766
303,189.358730
304,190.113379
305,190.421043
306,190.746122
307,191.436916
308,192.150930
309,192.737234
310,193.468662
311,194.159456
312,194.234921
313,194.914104
314,195.604898
315,196.295692
316,196.980680
317,197.549569
318,197.677279
319,198.385488
320,199.064671
321,199.627755
322,199.743855
323,200.980317
