index,time_seconds
0,0.197370
1,35.009887
2,35.700680
3,36.066395
4,39.857052
5,40.182132
6,40.884535
7,41.952653
8,42.277732
9,43.340045
10,45.400816
11,46.080000
12,46.445714
13,46.631474
14,47.328073
15,48.158186
16,48.790930
17,49.156644
18,51.170975
19,52.192653
20,53.202721
21,54.241814
22,54.590113
23,55.263492
24,58.270476
25,58.653605
26,59.321179
27,60.302222
28,60.679546
29,61.329705
30,61.695420
31,62.380408
32,63.384671
33,64.400544
34,64.760454
35,65.422222
36,66.496145
37,66.803810
38,67.477188
39,67.819683
40,68.556916
41,68.852971
42,69.596009
43,70.251973
44,70.611882
45,70.965986
46,71.633560
47,72.312744
48,72.655238
49,73.015147
50,73.705941
51,74.025215
52,75.371973
53,75.743492
54,77.084444
55,77.450159
56,77.821678
57,78.152562
58,78.500862
59,79.539955
60,79.847619
61,80.520998
62,81.896780
63,82.094150
64,82.901043
65,83.133243
66,83.272562
67,83.934331
68,84.265215
69,85.147574
70,85.281088
71,87.997823
72,88.311293
73,89.036916
74,89.361995
75,90.017959
76,90.348844
77,91.051247
78,91.382132
79,92.061315
80,92.368980
81,92.415420
82,93.350023
83,93.617052
84,94.052426
85,94.690975
86,95.068299
87,95.358549
88,95.584943
89,96.049342
90,96.415057
91,96.722721
92,97.071020
93,97.378685
94,98.069478
95,98.446803
96,99.114376
97,99.422041
98,99.665850
99,100.095420
100,100.478549
101,100.792018
102,101.122902
103,101.465397
104,101.662766
105,102.138776
106,104.176327
107,105.192200
108,105.505669
109,105.691429
110,106.173243
111,106.376417
112,106.533152
113,107.194921
114,107.508390
115,107.740590
116,108.204989
117,109.232472
118,109.563356
119,110.219320
120,110.590839
121,110.782404
122,111.275828
123,111.606712
124,111.775057
125,111.931791
126,117.661315
127,118.003810
128,118.363719
129,119.054512
130,119.402812
131,120.076190
132,120.401270
133,122.055692
134,122.491066
135,122.996100
136,123.518549
137,124.476372
138,124.673741
139,125.178776
140,125.492245
141,126.206259
142,126.513923
143,127.222132
144,127.535601
145,128.214785
146,128.534059
147,129.567347
148,130.246531
149,130.612245
150,130.768980
151,130.919909
152,131.593288
153,131.744218
154,131.941587
155,132.574331
156,132.911020
157,134.234558
158,135.598730
159,135.912200
160,136.608798
161,136.962902
162,137.607256
163,137.972971
164,138.628934
165,139.685442
166,139.998912
167,140.718730
168,141.014785
169,141.670748
170,141.891338
171,142.692426
172,143.708299
173,144.039184
174,144.735782
175,145.072472
176,146.076735
177,146.750113
178,147.086803
179,147.789206
180,148.114286
181,148.793469
182,149.466848
183,151.005170
184,151.806259
185,152.810522
186,153.129796
187,153.826395
188,154.168889
189,154.795828
190,155.155737
191,156.183220
192,156.844989
193,157.170068
194,157.843447
195,158.145306
196,159.869388
197,160.066757
198,160.188662
199,160.891066
200,161.088435
201,161.227755
202,163.886440
203,164.211519
204,165.598912
205,165.947211
206,166.266485
207,166.934059
208,167.282358
209,168.007982
210,168.315646
211,169.000635
212,169.337324
213,170.062948
214,170.388027
215,171.049796
216,172.379138
217,173.093152
218,173.470476
219,174.132245
220,174.434104
221,175.148118
222,175.473197
223,176.163991
224,176.500680
225,177.191474
226,177.539773
227,178.213152
228,178.753016
229,179.269660
230,180.239093
231,181.237551
232,183.234467
233,184.261950
234,186.282086
235,186.653605
236,187.309569
237,187.605624
238,188.934966
239,189.289070
240,190.577778
241,191.251156
242,191.553016
243,193.259683
244,194.275556
245,194.438095
246,194.600635
247,195.268209
248,195.953197
249,196.289887
250,196.591746
251,197.282540
252,198.286803
253,198.611882
254,199.291066
255,199.616145
256,200.260499
257,200.602993
258,201.264762
259,201.584036
260,202.251610
261,202.605714
262,203.250068
263,203.447438
264,203.586757
265,204.294966
266,204.620045
267,204.950930
268,205.264399
269,205.461769
270,205.606893
271,205.804263
272,206.268662
273,206.576327
274,207.214875
275,207.580590
276,208.242358
277,208.590658
278,208.782222
279,208.915737
280,209.246621
281,210.262494
282,210.593379
283,210.773333
284,211.243537
285,212.567075
286,213.205624
287,213.548118
288,214.749751
289,215.510204
290,215.724989
291,216.706032
292,217.164626
293,218.151474
294,219.149932
295,219.335692
296,219.463401
297,222.081451
298,222.429751
299,222.621315
300,223.085714
301,223.271474
302,223.410794
303,223.939048
304,224.060952
305,224.403447
306,225.059410
307,225.262585
308,225.401905
309,225.726984
310,226.069478
311,226.417778
312,227.073741
313,227.265306
314,227.393016
315,227.747120
316,228.112834
317,228.275374
318,228.414694
319,230.074921
320,230.382585
321,231.073379
322,231.398458
323,231.607438
324,232.106667
325,233.070295
326,233.256054
327,233.401179
328,233.726259
329,234.103583
330,234.393832
331,234.591202
332,235.067211
333,235.363265
334,235.566440
335,235.723175
336,236.071474
337,236.367528
338,238.039365
339,239.049433
340,240.715465
341,241.034739
342,242.607891
343,252.174512
344,252.505397
345,253.190385
346,254.200454
347,254.548753
348,255.187302
349,255.553016
350,256.208980
351,256.371519
352,257.207438
353,258.211701
354,258.565805
355,259.210159
356,259.726803
357,260.185397
358,261.189660
359,262.182313
360,262.844082
361,263.186576
362,264.190839
363,265.160272
364,266.152925
365,266.379320
366,267.145578
367,267.337143
368,267.476463
369,270.111927
370,270.460227
371,271.389025
372,272.091429
373,272.416508
374,273.385941
375,273.589116
376,274.041905
377,274.366984
378,275.011338
379,275.377052
380,276.027211
381,276.346485
382,278.325986
383,279.005170
384,279.986213
385,282.029569
386,282.296599
387,282.975782
388,283.155737
389,283.283447
390,285.431293
391,286.940590
392,287.596553
393,287.927438
394,288.571791
395,288.954921
396,289.953379
397,290.609342
398,290.946032
399,291.584580
400,291.909660
401,292.583039
402,292.902313
403,293.790476
404,293.912381
405,294.127166
406,294.905034
407,295.090794
408,295.230113
409,297.923628
410,298.875646
411,299.200726
412,299.862494
413,300.204989
414,300.889977
415,301.006077
416,301.203447
417,301.871020
418,302.881088
419,303.211973
420,306.869116
421,307.182585
422,307.850159
423,308.181043
424,308.895057
425,309.208526
426,309.852880
427,310.166349
428,311.159002
429,311.826576
430,312.047166
431,312.174875
432,312.523175
433,312.842449
434,314.821950
435,315.820408
436,316.482177
437,316.795646
438,317.823129
439,318.119184
440,318.374603
441,322.501950
